Code Case Number,Address,Code Case Opened Date,Code Case Type,Code Case Closed Date,Code Case District,Code Case Status,Code Case Description
OHN-000165-2018,"409 FOXFIRE DR
COLUMBIA, MO 65201",10/16/2018,ONS - Health Nuisance,11/9/2018,Sixth,Resolved,MATT BOECK CALLED IN (805-708-8383) AND REPORTED THAT THE NEIGHBORS NEXT DOOR HAVE BEEN PILING UP BAGS OF GARBAGE ON THE DECK AND THAT THERE IS ALSO LITTER BELOW.  MATT LIVES AT 411 FOXFIRE AND HAS GIVEN ME PERMISSION TO COME ON THE PROPERTY FOR PURPOSE OF INSPECTIONS.
OIV-000191-2018,"3620 MOJAVE CT Unit: STE 106
COLUMBIA, MO 65202",10/16/2018,ONS - Health Inoperable Vehicle,10/18/2018,Unknown,Closed,continued complaints of OT parking 
OHN-000180-2018,"103 W SEXTON RD
COLUMBIA, MO 65203",10/17/2018,ONS - Health Nuisance,10/30/2018,First,Resolved,I OBSERVED A DEAD TREE AND FALLEN LIMBS/DEBRIS IN THE FRONT YARD
OHN-000186-2018,"4601 RICE RD
COLUMBIA, MO 65202",10/17/2018,ONS - Health Nuisance,10/7/2018,Third,Voided,DARLENE WEFENSTETTE REPORTED A TIRE SITTING ON A UTILITY BOX  ON RICE ROAD
OHN-000202-2018,"918 SANDIFER AVE
COLUMBIA, MO 65201",10/18/2018,ONS - Health Nuisance,10/25/2018,Third,Closed,"Caller reports that there are homeless people living on this property, and leaving trash on the property.  Caller states that people trespass from this property and come onto her property."
OHN-000195-2018,"1414 ROSEMARY LN
COLUMBIA, MO 65201",10/18/2018,ONS - Health Nuisance,11/5/2018,Sixth,Resolved,"On Mon, Oct 15, 2018 at 1:27 PM tom o'sullivan <osully5040@yahoo.com> wrote:
Marsha;

The tenants have been stacking up trash the last several weeks at the west side of the porch at 1414 Rosemary Lane.  Aside from that being an ordinance violation they aren't placing the garbage at the curb for regular pickup on Monday.

I've noticed several other buildings doing the same thing. Some get the trash to the curb on Monday for pickup. Some don't sometimes.

There is also a large brush pile in between 1414 and 1416 Rosemary Lane that has been there for a least a few weeks.

I know these aren't the most pressing problems but it seems, especially with the trash stacking outside of buildings, it gives the impression to other residents that it is OK to do this.

Thanks again for all you do!

Tom O'Sullivan
(573) 228-4036"
OWD-000190-2018,"901 DINWIDDIE CIR
COLUMBIA, MO 65202",10/18/2018,ONS - Landscape Management,11/1/2018,Second,Resolved,WEED VIOLATION
OWD-000193-2018,"4100 WHITE TIGER ST
COLUMBIA, MO 65202",10/18/2018,ONS - Landscape Management,11/1/2018,Second,Resolved,TALL WEEDS
OWD-000208-2018,"4465 N HWY 763
COLUMBIA, MO 65202",10/18/2018,ONS - Landscape Management,11/1/2018,Second,Resolved,tall grass/weeds
OWD-000209-2018,"4325 N HWY 763
COLUMBIA, MO 65202",10/18/2018,ONS - Landscape Management,11/1/2018,Second,Resolved,TALL WEEDS AND GRASS
OHN-000199-2018,"1527 NATIVE DANCER CT
COLUMBIA, MO 65202",10/18/2018,ONS - Health Nuisance,10/3/2019,Second,Resolved,TIRES AND APPLIANCE OUTSIDE
OTOE-000211-2018,"1415 ROSEMARY LN
COLUMBIA, MO 65201",10/18/2018,ONS - Residential Solid Waste Violation,11/5/2018,Sixth,Resolved,TOE
OWD-000194-2018,"4110 WHITE TIGER ST
COLUMBIA, MO 65202",10/18/2018,ONS - Landscape Management,11/1/2018,Second,Resolved,TALL WEEDS
OWD-000230-2018,"4401 RICE RD
COLUMBIA, MO 65202",10/18/2018,ONS - Landscape Management,11/1/2018,Third,Resolved,10-5-18  DARLENE WEFENSTETTE REPORTED THAT THERE ARE TALL WEEDS ON THE NORTH SIDE OF THE INTERSECTION OF RICE AND BOYD.
OHN-000196-2018,"1416 ROSEMARY LN
COLUMBIA, MO 65201",10/18/2018,ONS - Health Nuisance,11/9/2018,Sixth,Resolved,"On Mon, Oct 15, 2018 at 1:27 PM tom o'sullivan <osully5040@yahoo.com> wrote:
Marsha;

The tenants have been stacking up trash the last several weeks at the west side of the porch at 1414 Rosemary Lane.  Aside from that being an ordinance violation they aren't placing the garbage at the curb for regular pickup on Monday.

I've noticed several other buildings doing the same thing. Some get the trash to the curb on Monday for pickup. Some don't sometimes.

There is also a large brush pile in between 1414 and 1416 Rosemary Lane that has been there for a least a few weeks.

I know these aren't the most pressing problems but it seems, especially with the trash stacking outside of buildings, it gives the impression to other residents that it is OK to do this.

Thanks again for all you do!

Tom O'Sullivan
(573) 228-4036"
OHN-000215-2018,"1304 LOWE ST
COLUMBIA, MO 65203",10/19/2018,ONS - Health Nuisance,11/6/2018,First,Resolved,TRASH/DEBRIS & TOE
OHN-000210-2018,"800 WASHINGTON AVE
COLUMBIA, MO 65201",10/19/2018,ONS - Health Nuisance,11/12/2018,First,Resolved,tires by trash cans
OWD-000252-2018,"1915 HANOVER BLVD
COLUMBIA, MO 65202",10/19/2018,ONS - Landscape Management,11/1/2018,Third,Resolved,TALL GRASS AND WEEDS
OPM-000212-2018,"210 WALLABY WAY
COLUMBIA, MO 65202",10/19/2018,ONS - Property Maintenance,11/5/2018,Second,Resolved,pop up camper parked in yard side of house
OWD-000218-2018,"601 SMILEY LN
COLUMBIA, MO 65202",10/19/2018,ONS - Landscape Management,11/1/2018,Second,Resolved,weeds and grass
OHN-000203-2018,"4421 CLARK LN
COLUMBIA, MO 65202",10/19/2018,ONS - Health Nuisance,11/5/2018,Third,Resolved,INDOOR CHAIR ON FRONT PORCH
OZPARK-000216-2018,"1304 LOWE ST
COLUMBIA, MO 65203",10/19/2018,ONS -  Residential Parking Violation,10/26/2018,First,Resolved,VEHICLE ON GRASS & TRASH/DEBRIS & TOE
OZPARK-000217-2018,,10/19/2018,ONS -  Residential Parking Violation,11/12/2018,Unknown,Voided,truck on the grass
OWD-000228-2018,"1113 SUNSET LN
COLUMBIA, MO 65203",10/19/2018,ONS - Landscape Management,10/29/2018,Fourth,Resolved,WEEDS OVER 12 INCHES TALL ON THE PROPERTY
OSSV-000227-2018,"315 LOCH LN
COLUMBIA, MO 65203",10/19/2018,ONS - Streets and Sidewalks Violation,11/6/2018,Fourth,Resolved,OBSTRUCTION OF SITE DISTANCE LOCH AND CONCORDIA
OWD-000224-2018,"111 SPRING VALLEY RD
COLUMBIA, MO 65203",10/19/2018,ONS - Landscape Management,10/22/2018,Fourth,Resolved,WEBSITE COMPLAINT WEEDS/GRASS OVER 12 INCHES
OWD-000243-2018,"211 ARCTIC WOLF CT
COLUMBIA, MO 65202",10/22/2018,ONS - Landscape Management,10/31/2018,Second,Resolved,I OBSERVED WEEDS OVER 12 INCHES TALL ON THIS VACANT LOT
OHN-000237-2018,"102 PERSHING RD
COLUMBIA, MO 65203",10/22/2018,ONS - Health Nuisance,1/10/2019,First,Resolved,LARGE DEAD TREE ON THE NW CORNER OF THE HOUSE
OWD-000239-2018,"201 ARCTIC WOLF CT
COLUMBIA, MO 65202",10/22/2018,ONS - Landscape Management,10/31/2018,Second,Resolved,THERE ARE WEEDS AND GRASS OVER 12 INCHES ON THE VACANT LOTS 201-211-251 ARCTIC WOLF 
OWD-000233-2018,"301 PERSHING RD
COLUMBIA, MO 65203",10/22/2018,ONS - Landscape Management,10/29/2018,First,Resolved,WEEDS OVER 12 INCHES TALL VISIBLE FROM THE STREET
OWD-000236-2018,"106 PERSHING RD
COLUMBIA, MO 65203",10/22/2018,ONS - Landscape Management,10/30/2018,First,Resolved,I OBSERVED HIGH WEEDS AND GRASS FROM THE STREET
OWD-000234-2018,"108 PERSHING RD
COLUMBIA, MO 65203",10/22/2018,ONS - Landscape Management,10/30/2018,First,Resolved,I OBSERVED THERE ARE WEEDS AND GRASS OVER 12 INCHES TALL WHILE DRIVING DOWN PERSHING ROAD.
OWD-000244-2018,"251 ARCTIC WOLF CT
COLUMBIA, MO 65202",10/22/2018,ONS - Landscape Management,10/31/2018,Second,Resolved,THERE ARE WEEDS AND GRASS OVER 12 INCHES TALL ON THE VACANT LOT
OPUNS-000259-2018,"1311 UNIVERSITY AVE
COLUMBIA, MO 65201",10/22/2018,ONS - Public Nuisance Structure,8/7/2020,Sixth,Resolved,Garage is unstable
OWD-000268-2018,"501 MEDAVISTA DR
COLUMBIA, MO 65203",10/23/2018,ONS - Landscape Management,11/1/2018,Fourth,Resolved,WEEDS OVER 12 INCHES TALL  
OWD-000278-2018,"5702 BULL RUN DR
COLUMBIA, MO 65201",10/23/2018,ONS - Landscape Management,11/6/2018,Third,Voided,Tall grass
OWD-000246-2018,"507 MCBAINE AVE
COLUMBIA, MO 65203",10/23/2018,ONS - Landscape Management,11/8/2018,First,Voided,10-17 OBSERVED WEEDS OVER 12IN SENT CASE#181 TO THE WRONG MANAGER/OWNER STARTED A NEW CASE TODAY
OWD-000256-2018,"3500 RANGE LINE ST
COLUMBIA, MO 65202",10/23/2018,ONS - Landscape Management,11/29/2018,Second,Closed,tall weeds and grass
OHN-000286-2018,"1411 ROSS ST
COLUMBIA, MO 65201",10/23/2018,ONS - Health Nuisance,11/9/2018,Sixth,Resolved,"loose trash, filled garbage can tipped over, garbage spilling out"
OHN-000287-2018,"1601 UNIVERSITY AVE
COLUMBIA, MO 65201",10/23/2018,ONS - Health Nuisance,11/9/2018,Sixth,Voided,"ACCUMULATION OF GARBAGE, NOT PLACED AT CURBED REGULARLY"
OHN-000263-2018,"703 W BROADWAY
COLUMBIA, MO 65203",10/23/2018,ONS - Health Nuisance,3/28/2019,Unknown,Resolved,I OBSERVED A DEAD TREE AND FALLEN LIMBS/DEBRIS ON THIS PROPERTY 10-23-18
OHN-000251-2018,"903 S PROVIDENCE RD
COLUMBIA, MO 65203",10/23/2018,ONS - Health Nuisance,11/6/2018,Fifth,Resolved,CC-LOOSE TRASH AT CURB/DRIVEWAY BROKEN TRASH BAGS
OPM-000257-2018,"3240 ROCK QUARRY RD Unit: APT 404
COLUMBIA, MO 65201",10/23/2018,ONS - Property Maintenance,3/18/2019,Sixth,Resolved,roof or siding leak that maintenance will not fix
OHN-000255-2018,"17 E BURNAM RD
COLUMBIA, MO 65203",10/23/2018,ONS - Health Nuisance,10/29/2018,Fifth,Resolved,CC-STATED THAT THERE IS BEER CANS AND TRASH EVERYONE IN THE FRONT YARD OF THIS PROPERTY
OWD-000267-2018,"1119 RIDGE RD
COLUMBIA, MO 65203",10/23/2018,ONS - Landscape Management,11/1/2018,Fourth,Resolved,10-22-18 WEEDS ON EMPTY LOT OFF RIDGE / MEDAVISTA
OHN-000285-2018,"1414 ROSEMARY LN
COLUMBIA, MO 65201",10/23/2018,ONS - Health Nuisance,11/9/2018,Sixth,Resolved,loose trash on the property
OSSV-000273-2018,"2009 WINCHESTER DR
COLUMBIA, MO 65202",10/23/2018,ONS - Streets and Sidewalks Violation,10/24/2018,Second,Resolved,
OHN-000275-2018,"1407 ROSS ST
COLUMBIA, MO 65201",10/23/2018,ONS - Health Nuisance,11/9/2018,Sixth,Resolved,Loose trash
ORC-000271-2018,"1407 LAMBETH DR
COLUMBIA, MO 65202",10/24/2018,ONS - Rental Complaint Violation,9/24/2020,Third,Closed,tenant was describing issues that were not apparent at the time.
OWD-000264-2018,"3403 WAKEFIELD DR
COLUMBIA, MO 65203",10/24/2018,ONS - Landscape Management,10/30/2018,Fifth,Resolved,WEEDS OVER 12 INCHES 
OPM-000337-2018,"1407 BODIE DR
COLUMBIA, MO 65202",10/25/2018,ONS - Property Maintenance,12/11/2018,Second,Resolved,The fence on the eastern side of the property is in disrepair. 
OWD-000329-2018,"3405 RANGE LINE ST
COLUMBIA, MO 65202",10/25/2018,ONS - Landscape Management,11/16/2018,Second,Resolved,weeds
OUV-000302-2018,"4421 CLARK LN
COLUMBIA, MO 65202",10/25/2018,ONS - Health Unlicensed Vehicle,12/4/2018,Third,Resolved,station wagon without plates
OWD-000304-2018,"2108 DOMAIN HILL CT
COLUMBIA, MO 65201",10/25/2018,ONS - Landscape Management,11/12/2018,Sixth,Resolved,"The following form submission was received on the City of Columbia website. The sender has been notified of the successful receipt of this request. Recipients should respond to this request within a reasonable time frame, normally within 1 to 3 business days. For more information regarding origin of this message or to report spam contact the Webmaster at webmaster@como.gov 

 Below are the results of a Web form submitted on:  October 24th, 2018 at 09:59AM (CDT). 

Issue: Weeds 
Observation Date: 10/24/2018 
Address/Intersection: Domain Hill Ct, Columbia, MO 65201, USA 
Description of issue or damage: There are empty lots on Domain Hill and Bates Creek Drive in The Vineyards off of Rolling Hills Road that need to be mowed as the weeds are over the allowable limit.  I reported this earlier this summer, and no action was taken. 

---------------------------------------- 

Name (optional): 
Email Address (optional): 
Phone Number (optional):"
OWD-000305-2018,"5008 BATES CREEK CT
COLUMBIA, MO 65201",10/25/2018,ONS - Landscape Management,11/12/2018,Sixth,Resolved,"The following form submission was received on the City of Columbia website. The sender has been notified of the successful receipt of this request. Recipients should respond to this request within a reasonable time frame, normally within 1 to 3 business days. For more information regarding origin of this message or to report spam contact the Webmaster at webmaster@como.gov 

 Below are the results of a Web form submitted on:  October 24th, 2018 at 09:59AM (CDT). 

Issue: Weeds 
Observation Date: 10/24/2018 
Address/Intersection: Domain Hill Ct, Columbia, MO 65201, USA 
Description of issue or damage: There are empty lots on Domain Hill and Bates Creek Drive in The Vineyards off of Rolling Hills Road that need to be mowed as the weeds are over the allowable limit.  I reported this earlier this summer, and no action was taken. 

---------------------------------------- 

Name (optional): 
Email Address (optional): 
Phone Number (optional):"
OHN-000303-2018,"906 N SEVENTH ST
COLUMBIA, MO 65201",10/25/2018,ONS - Health Nuisance,10/30/2018,First,Resolved,JEFF ADAMS REPORTED THAT THERE ARE A BUNCH OF CARS PARKED ON THE PROPERTY.
OUV-000347-2018,"906 N SEVENTH ST
COLUMBIA, MO 65201",10/26/2018,ONS - Health Unlicensed Vehicle,11/29/2018,First,Resolved,JEFF ADAMS REPORTED THAT THERE ARE A BUNCH OF CARS PARKED ON THE PROPERTY.
OZPARK-000327-2018,"1404 LOWE ST
COLUMBIA, MO 65203",10/26/2018,ONS -  Residential Parking Violation,11/19/2018,First,Resolved,SILVER GRAND AM PARKED ON THE YARD WITH NO LICENSE PLATES
OZPARK-000328-2018,,10/29/2018,ONS -  Residential Parking Violation,11/16/2018,Unknown,Resolved,N. Eighth Street lot
OZPARK-000348-2018,"906 N SEVENTH ST
COLUMBIA, MO 65201",10/29/2018,ONS -  Residential Parking Violation,11/9/2018,First,Resolved,JEFF ADAMS REPORTED THAT THERE ARE A BUNCH OF CARS PARKED ON THE PROPERTY.
OUV-000331-2018,"6 GRANADA BLVD
COLUMBIA, MO 65203",10/29/2018,ONS - Health Unlicensed Vehicle,12/17/2018,Fifth,Resolved,TODAY I OBSERVED 4 VEHICLES ON THIS PROPERTY WITH EXPIRED PLATES
OTOE-000384-2018,"2604 THORNBERRY DR
COLUMBIA, MO 65202",10/29/2018,ONS - Residential Solid Waste Violation,11/12/2018,Third,Resolved,"Neighborhood ?
Trash left next to house all week.
1 post by 1 author 

Reassign 
Set as duplicate 
No action needed
Assigned to me by leigh.kottwitz



Matthew Swaim	

Oct 29


Customer has an issue with neighbor leaving trash bags next to their house all week at 2604 Thornberry. His name is Robert Savage 573-489-3580. Follow up requested. He states he has spoke with someone about this before this spring but the issue persists. 
Click here to Reply"
OSSV-000363-2018,"3912 KEYSTONE CT
COLUMBIA, MO 65203",10/30/2018,ONS - Streets and Sidewalks Violation,11/12/2018,Fourth,Resolved,VERY BAD OBSTRUCTION OF SIDEWALK  THEY ALSO RECEIVED A NOTICE IN 2015
OWD-000362-2018,"3910 KEYSTONE CT
COLUMBIA, MO 65203",10/30/2018,ONS - Landscape Management,11/8/2018,Fourth,Resolved,WEEDS TO CURB OF CHAPEL HILL AND BEHIND PROPERTY
OPM-000386-2018,"2604 THORNBERRY DR
COLUMBIA, MO 65202",10/30/2018,ONS - Property Maintenance,11/16/2018,Third,Resolved,"Neighborhood ?
Trash left next to house all week.
1 post by 1 author 

Reassign 
Set as duplicate 
No action needed
Assigned to me by leigh.kottwitz



Matthew Swaim	

Oct 29


Customer has an issue with neighbor leaving trash bags next to their house all week at 2604 Thornberry. His name is Robert Savage 573-489-3580. Follow up requested. He states he has spoke with someone about this before this spring but the issue persists. 
Click here to Reply"
OSSV-000357-2018,"3800 KEYSTONE CT
COLUMBIA, MO 65203",10/30/2018,ONS - Streets and Sidewalks Violation,11/8/2018,Fourth,Resolved,LOW LIMBS OBSTRUCTING SIDEWALK FACING CHAPEL HILL RD
OWD-000361-2018,"3900 KEYSTONE CT
COLUMBIA, MO 65203",10/30/2018,ONS - Landscape Management,11/8/2018,Fourth,Resolved,WEEDS BEHIND THE WHITE FENCE ARE OVER 12 INCHES TO THE CURB
OWD-000359-2018,"3904 KEYSTONE CT
COLUMBIA, MO 65203",10/30/2018,ONS - Landscape Management,11/26/2018,Fourth,Resolved,WEEDS OVER 12 INCHES TALL TO THE CURB OF CHAPEL HILL ROAD
ORC-000346-2018,,10/30/2018,ONS - Rental Complaint Violation,10/30/2018,Unknown,Voided,
OSSV-000354-2018,"3900 KEYSTONE CT
COLUMBIA, MO 65203",10/30/2018,ONS - Streets and Sidewalks Violation,11/12/2018,Fourth,Resolved,CC REGARDING OBSTRUCTION OF THE SIDEWALK AND WEEDS OFF CHAPEL HILL & KEYSTONE 
OSSV-000358-2018,"3904 KEYSTONE CT
COLUMBIA, MO 65203",10/30/2018,ONS - Streets and Sidewalks Violation,1/8/2019,Fourth,Resolved,HONEYSUCKLE OBSTRUCTION OF SIDEWALK BEHIND PROPERTY  
OZPARK-000401-2018,"310 MANOR DR
COLUMBIA, MO 65203",10/31/2018,ONS -  Residential Parking Violation,11/8/2018,Fourth,Resolved,CAR PARKED ON THE GRASS ON 10-31-18
OZVO-000400-2018,"310 MANOR DR
COLUMBIA, MO 65203",10/31/2018,ONS - Zoning Violation - Occupancy,11/2/2018,Fourth,Voided,CAR PARKING ON THE GRASS  10-31-18  NOT A ZONING OCCUPANCY CASE  VOIDED 11-2-18
OHN-000394-2018,"104 W PHYLLIS AVE
COLUMBIA, MO 65202",10/31/2018,ONS - Health Nuisance,11/15/2018,Second,Resolved,"loose trash, vehicle full of trash, cover on a boat??? "
OSSV-000383-2018,"302 REEDSPORT RDG
COLUMBIA, MO 65203",11/1/2018,ONS - Streets and Sidewalks Violation,10/11/2019,Second,Resolved,HEDGE GROWING OVER THE SIDEWALK
OTOE-000387-2018,"1504 ROSEMARY LN
COLUMBIA, MO 65201",11/1/2018,ONS - Residential Solid Waste Violation,11/7/2018,Sixth,Resolved,"From: 'tom o'sullivan' via Waste-Mgmt <waste-mgmt@como.gov>
Date: Wed, Oct 31, 2018 at 6:10 PM
Subject: [Waste-Mgmt]: Would Someone Please Call Me About TOE @ 1504 Rosemary Lane
To: waste-mgmt@gocolumbiamo.com <waste-mgmt@gocolumbiamo.com>, Glen McDonald <waste-mgmt@como.gov>


I have been reporting TOE at 1504 Rosemary Lane on a weekly basis for about the last month and a half. Such was the case earlier this week with TOE @ 1504. I believe or assume you folks picked it up sometime Wednesday morning, 10/31/18. I say that because when I came home for lunch around 1200 there was no trash at the curb in front of 1504.

THEN, when I came home from work later that day at about 5:30 p.m. there was trash set out at the curb at 1504. I cannot fathom why this problem with TOE at 1504 has not been rectified. Is this residence being fined? Has the landlord/property owner been notified?

Rosemary Lane continues to improve overall in many aspects but you have these imbeciles at 1504 who don't know how to properly set out trash. Something is wrong here.

I would appreciate a call at your convenience.

Thank you for all the great work Solid Waste does! Believe me, I'm on your side!

Tom O'Sullivan
1407 Rosemary Lane
(573) 228-4036"
OHN-000391-2018,"1601 UNIVERSITY AVE
COLUMBIA, MO 65201",11/1/2018,ONS - Health Nuisance,11/1/2018,Sixth,Voided,THERE IS GARBAGE AND LOOSE TRASH SCATTERED ON THE DRIVEWAY ON THE WEST SIDE OF THE PROPERTY.
OWD-000432-2018,"5625 LIGHTPOST DR
COLUMBIA, MO 65201",11/1/2018,ONS - Landscape Management,11/16/2018,Sixth,Closed,"webmaster@como.gov	

Oct 30


The following form submission was received on the City of Columbia website. The sender has been notified of the successful receipt of this request. Recipients should respond to this request within a reasonable time frame, normally within 1 to 3 business days. For more information regarding origin of this message or to report spam contact the Webmaster at webmaster@como.gov 

 Below are the results of a Web form submitted on:  October 30th, 2018 at 11:57AM (CDT). 

Issue: Weeds 
Observation Date: 10/30/2018 
Address/Intersection: Next to 5623 Light Post, Old Hawthorne, Columbia 
Description of issue or damage: Weeds on this lot are unsightly and exceed 12"" in height. 

---------------------------------------- 

Name (optional): 
Email Address (optional): 
Phone Number (optional):"
OPM-000392-2018,"1401 GODAS DR
COLUMBIA, MO 65202",11/1/2018,ONS - Property Maintenance,4/8/2019,Third,Resolved,The deck piers are settling and not resisting lateral movement causing excessive pressure on the deck posts and causing the lower deck to pull out of the joist hangers and away from the foundation.
OTOE-000390-2018,"2111 PRIMROSE DR
COLUMBIA, MO 65202",11/1/2018,ONS - Residential Solid Waste Violation,11/6/2018,Second,Resolved,"LOOSE TRASH, MATTRESS,  TOE"
OHN-000397-2018,"3418 VALENCIA DR
COLUMBIA, MO 65203",11/2/2018,ONS - Health Nuisance,12/12/2019,Fifth,Resolved,"CC 11-01-18 FROM HUNTER WENGER 68-9083 JUNK, LOOSE TRASH, RUBBISH ON THE FRONT LAWN OF THIS PROPERTY"
OPM-000411-2018,,11/2/2018,ONS - Property Maintenance,8/21/2019,Unknown,Resolved,tenant insisting on using a range that is damaged by fire
OHN-000399-2018,"3418 VALENCIA DR
COLUMBIA, MO 65203",11/2/2018,ONS - Health Nuisance,11/7/2018,Fifth,Resolved,"CC 11-01-18 FROM HUNTER WENGER 68-9083 JUNK, LOOSE TRASH, RUBBISH ON THE FRONT LAWN OF THIS PROPERTY"
OHN-000451-2018,"1517 ROSS ST
COLUMBIA, MO 65201",11/5/2018,ONS - Health Nuisance,11/7/2018,Sixth,Resolved,Overflowing garbage can sitting by front porch
OHN-000448-2018,"1510 BOYD LN
COLUMBIA, MO 65202",11/5/2018,ONS - Health Nuisance,11/16/2018,Third,Resolved,LOOSE TRASH BY THE MAILBOX
OHN-000452-2018,"320 FOXFIRE DR
COLUMBIA, MO 65201",11/5/2018,ONS - Health Nuisance,11/16/2018,Sixth,Resolved,"ACCUMULATION OF BROKEN FURNITURE, TRASH, DEBRIS IN DUMPSTER AREA"
OTOE-000450-2018,"1605 BOYD LN
COLUMBIA, MO 65202",11/5/2018,ONS - Residential Solid Waste Violation,11/5/2018,Third,Closed,"Recycling sitting by curb, early"
OPM-000433-2018,"3517 MARQUIS CT
COLUMBIA, MO 65201",11/5/2018,ONS - Property Maintenance,12/11/2018,Sixth,Resolved,THERE IS A DARK RESIDUE ON THE NORTH SIDE OF THE STRUCTURE THAT IS CONSISTENT WITH THE CHARACTERISTICS OF MOLD.
OUV-000455-2018,"4312 RICE RD
COLUMBIA, MO 65202",11/5/2018,ONS - Health Unlicensed Vehicle,12/13/2018,Third,Resolved,"DARLENE WEFFENSTETTE CALLED ON 10-31-18  SHE REPORTED A GREEN SUV WITHOUT PLATES.  I WENT OUT ON 11-1-18 .  I NEEDED TO CONFIRM WITH THE OWNER TO DETERMINE IF IT WAS ON THEIR PROPERTY.

11-5-18  I SPOKE TO MARTIN SMITH.  IT IS ON THEIR PROPERTY.  HE WILL GET WITH THE TENANT AND GET IT TAKEN CARE OF."
OPM-000431-2018,"3508 MARQUIS CT
COLUMBIA, MO 65201",11/5/2018,ONS - Property Maintenance,12/11/2018,Sixth,Resolved,There is a dark residue on the north side of the property consistent with the properties of mold. 
